iter	Passed	Remaining
1339	14825	18365
1340	14839	18358
1341	14851	18349
1342	14866	18341
1343	14878	18332
1344	14890	18322
1345	14903	18313
1346	14916	18304
1347	14928	18295
1348	14940	18285
1349	14953	18276
1350	14966	18267
1351	14978	18258
1352	14991	18248
1353	15005	18242
1354	15020	18234
1355	15037	18231
1356	15053	18226
1357	15067	18218
1358	15082	18211
1359	15097	18205
1360	15112	18198
1361	15127	18193
1362	15142	18186
1363	15158	18180
1364	15174	18175
1365	15188	18168
1366	15203	18161
1367	15219	18156
1368	15234	18150
1369	15249	18143
1370	15262	18134
1371	15277	18128
1372	15288	18117
1373	15300	18107
1374	15314	18098
1375	15326	18088
1376	15337	18077
1377	15348	18066
1378	15358	18053
1379	15368	18041
1380	15379	18030
1381	15392	18020
1382	15401	18007
1383	15412	17995
1384	15423	17984
1385	15434	17973
1386	15445	17962
1387	15456	17950
1388	15466	17938
1389	15478	17928
1390	15488	17916
1391	15499	17905
1392	15510	17893
1393	15520	17881
1394	15532	17870
1395	15543	17859
1396	15554	17847
1397	15565	17837
1398	15576	17825
1399	15587	17814
1400	15600	17805
1401	15612	17795
1402	15624	17784
1403	15634	17772
1404	15646	17762
1405	15657	17751
1406	15667	17738
1407	15678	17727
1408	15688	17714
1409	15698	17702
1410	15710	17691
1411	15720	17679
1412	15731	17668
1413	15742	17657
1414	15752	17645
1415	15763	17633
1416	15774	17622
1417	15785	17611
1418	15797	17600
1419	15808	17589
1420	15820	17579
1421	15832	17569
1422	15844	17559
1423	15855	17547
1424	15865	17535
1425	15876	17523
1426	15886	17512
1427	15896	17499
1428	15907	17488
1429	15917	17476
1430	15930	17466
1431	15941	17455
1432	15952	17444
1433	15964	17433
1434	15975	17422
1435	15986	17411
1436	15996	17399
1437	16017	17398
1438	16040	17400
1439	16059	17397
1440	16074	17390
1441	16085	17379
1442	16094	17366
1443	16104	17353
1444	16113	17340
1445	16124	17328
1446	16133	17314
1447	16142	17302
1448	16151	17288
1449	16161	17275
1450	16170	17263
1451	16180	17249
1452	16190	17237
1453	16199	17224
1454	16209	17212
1455	16220	17200
1456	16229	17187
1457	16241	17176
1458	16251	17164
1459	16261	17152
1460	16271	17140
1461	16281	17127
1462	16291	17116
1463	16301	17103
1464	16311	17090
1465	16321	17078
1466	16331	17066
1467	16343	17055
1468	16353	17043
1469	16363	17030
1470	16373	17019
1471	16384	17007
1472	16394	16995
1473	16405	16984
1474	16416	16973
1475	16427	16961
1476	16438	16950
1477	16449	16939
1478	16459	16927
1479	16470	16915
1480	16480	16903
1481	16490	16891
1482	16501	16879
1483	16511	16867
1484	16524	16857
1485	16535	16846
1486	16546	16835
1487	16556	16823
1488	16567	16812
1489	16578	16800
1490	16589	16789
1491	16599	16777
1492	16610	16765
1493	16620	16753
1494	16630	16742
1495	16641	16729
1496	16650	16717
1497	16660	16705
1498	16670	16692
1499	16683	16683
1500	16694	16672
1501	16705	16660
1502	16717	16650
1503	16730	16641
1504	16743	16631
1505	16753	16620
1506	16764	16609
1507	16775	16597
1508	16786	16585
1509	16796	16574
1510	16807	16562
1511	16817	16550
1512	16829	16540
1513	16840	16528
1514	16850	16517
1515	16862	16506
1516	16872	16494
1517	16883	16482
1518	16894	16471
1519	16904	16459
1520	16917	16450
1521	16929	16440
1522	16943	16431
1523	16953	16419
1524	16964	16408
1525	16975	16397
1526	16985	16385
1527	16996	16373
1528	17007	16362
1529	17017	16350
1530	17052	16361
1531	17067	16354
1532	17080	16345
1533	17092	16334
1534	17101	16321
1535	17111	16309
1536	17120	16296
1537	17131	16285
1538	17142	16273
1539	17151	16260
1540	17162	16249
1541	17172	16237
1542	17181	16224
1543	17191	16212
1544	17201	16199
1545	17212	16188
1546	17223	16176
